ID,Age_Bin,Years_Since_Last_Promotion_Bin,Monthly_Income_Bin,Training_Hours_Last_Year_Bin,Distance_From_Home_Bin,Years_at_Company_Bin,Years_in_Current_Role_Bin,Project_Count_Bin,Absenteeism_Bin,Average_Hours_Worked_Per_Week_Bin,Hourly_Rate_Bin,Work_Life_Balance_Bin,Relationship_with_Manager_Bin,Job_Involvement_Bin,Job_Satisfaction_Bin,Performance_Rating_Bin,Work_Environment_Satisfaction_Bin,Job_Level_Bin,Number_of_Companies_Worked_Bin,Gender_Bin,Job_Role_Manager_Bin,Job_Role_Assistant_Bin,Department_HR_Bin,Department_Marketing_Bin,Marital_Status_Married_Bin,Attrition
9571,46-60,1-2,<=30k,60+,11-20km,11-20,10+,7+,11+,46-60,81-100,Poor,Good,Low,Moderate,Average,Moderate,Level 1,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9572,26-35,1-2,<=30k,60+,20km+,2-5,0-1,7+,11+,46-60,<=40,Fair,Poor,Low,High,Average,Very High,Level 5,3-5,Male,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9573,36-45,3-5,<=30k,11-30,11-20km,11-20,7-10,3-4,6-10,31-45,<=40,Fair,Average,Medium,High,Below Avg,Moderate,Level 1,1-2,Male,Not Manager,Assistant,Not HR,Marketing,Married,Attrition_Yes
9574,36-45,3-5,<=30k,60+,20km+,2-5,7-10,<=2,0-2,46-60,81-100,Fair,Poor,Low,High,Good,Low,Level 2,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9575,18-25,0,<=30k,31-60,11-20km,2-5,7-10,7+,0-2,31-45,81-100,Excellent,Poor,Low,High,Good,Moderate,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9576,18-25,0,<=30k,60+,20km+,2-5,7-10,5-6,11+,46-60,<=40,Good,Poor,Low,Very High,Average,Low,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9577,36-45,6-10,<=30k,11-30,11-20km,11-20,10+,3-4,0-2,31-45,61-80,Excellent,Good,Low,Moderate,Average,Low,Level 1,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9578,46-60,6-10,<=30k,60+,11-20km,11-20,7-10,<=2,11+,46-60,41-60,Poor,Poor,Medium,High,Average,Low,Level 1,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9579,26-35,1-2,<=30k,0-10,0-5km,11-20,7-10,<=2,11+,46-60,<=40,Poor,Average,Low,Very High,Below Avg,Moderate,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9580,18-25,1-2,<=30k,31-60,20km+,11-20,10+,7+,11+,<=30,61-80,Poor,Good,Medium,High,Average,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9581,36-45,6-10,<=30k,11-30,6-10km,6-10,0-1,5-6,11+,31-45,61-80,Poor,Average,Medium,Very Low,Below Avg,Low,Level 5,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9582,36-45,3-5,<=30k,31-60,20km+,20+,2-3,7+,6-10,46-60,61-80,Fair,Good,Low,Very High,Below Avg,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9583,26-35,3-5,<=30k,60+,6-10km,11-20,4-6,3-4,6-10,46-60,<=40,Excellent,Poor,Low,Very Low,Below Avg,Very High,Level 1,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_Yes
9584,36-45,1-2,<=30k,60+,6-10km,11-20,10+,3-4,3-5,31-45,61-80,Excellent,Average,Low,High,Below Avg,Very High,Level 5,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9585,18-25,6-10,<=30k,31-60,0-5km,0-1,2-3,3-4,0-2,46-60,61-80,Poor,Poor,Low,Moderate,Below Avg,High,Level 2,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9586,26-35,1-2,<=30k,0-10,6-10km,11-20,7-10,7+,11+,46-60,<=40,Excellent,Average,Low,Very High,Below Avg,High,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9587,26-35,3-5,<=30k,11-30,6-10km,20+,10+,<=2,0-2,31-45,<=40,Excellent,Average,Low,Very Low,Average,Moderate,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9588,46-60,3-5,<=30k,31-60,20km+,20+,4-6,<=2,6-10,31-45,61-80,Excellent,Poor,Medium,Very Low,Average,Very High,Level 5,3-5,Male,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9589,26-35,6-10,<=30k,60+,20km+,6-10,10+,3-4,0-2,46-60,61-80,Excellent,Good,Low,Moderate,Below Avg,Moderate,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9590,26-35,1-2,<=30k,31-60,6-10km,20+,10+,3-4,11+,46-60,41-60,Excellent,Average,Medium,Very High,Below Avg,High,Level 4,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9591,26-35,0,<=30k,11-30,20km+,6-10,7-10,<=2,3-5,31-45,<=40,Fair,Poor,High,Low,Below Avg,Very High,Level 1,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9592,46-60,1-2,<=30k,60+,20km+,6-10,2-3,7+,0-2,46-60,41-60,Fair,Poor,Low,Very Low,Below Avg,High,Level 1,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9593,26-35,1-2,<=30k,0-10,20km+,6-10,7-10,3-4,11+,31-45,<=40,Excellent,Good,Low,Very High,Average,Moderate,Level 1,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9594,36-45,6-10,<=30k,31-60,6-10km,20+,2-3,3-4,11+,46-60,81-100,Excellent,Average,Low,Low,Good,High,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9595,46-60,0,<=30k,60+,20km+,6-10,4-6,<=2,11+,31-45,81-100,Excellent,Poor,Medium,Very High,Below Avg,Low,Level 1,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9596,36-45,0,<=30k,60+,20km+,2-5,10+,3-4,6-10,31-45,61-80,Poor,Poor,Low,High,Below Avg,Moderate,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9597,26-35,6-10,<=30k,0-10,11-20km,6-10,4-6,3-4,0-2,46-60,81-100,Poor,Average,High,Very Low,Below Avg,Low,Level 1,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9598,46-60,0,<=30k,60+,20km+,11-20,4-6,<=2,11+,46-60,<=40,Excellent,Average,Low,Low,Below Avg,Low,Level 5,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9599,46-60,1-2,<=30k,31-60,20km+,20+,10+,<=2,11+,46-60,81-100,Fair,Average,Medium,Moderate,Below Avg,Very High,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9600,46-60,3-5,<=30k,31-60,20km+,20+,7-10,5-6,11+,31-45,41-60,Poor,Average,Medium,Moderate,Below Avg,Low,Level 2,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9601,18-25,6-10,<=30k,11-30,0-5km,6-10,10+,<=2,11+,31-45,61-80,Good,Good,Low,High,Average,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9602,26-35,6-10,<=30k,60+,20km+,11-20,7-10,3-4,11+,46-60,<=40,Poor,Poor,Low,High,Below Avg,Low,Level 2,3-5,Male,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9603,18-25,6-10,<=30k,0-10,0-5km,20+,7-10,5-6,6-10,31-45,41-60,Poor,Poor,Low,Low,Below Avg,High,Level 3,3-5,Male,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9604,36-45,3-5,<=30k,60+,0-5km,11-20,7-10,<=2,3-5,46-60,<=40,Good,Poor,Medium,Very Low,Average,Very High,Level 1,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
9605,46-60,3-5,<=30k,60+,20km+,6-10,4-6,7+,11+,31-45,<=40,Excellent,Poor,Medium,Very Low,Good,High,Level 1,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_Yes
9606,18-25,6-10,<=30k,11-30,20km+,6-10,4-6,<=2,6-10,31-45,81-100,Poor,Good,Low,Moderate,Below Avg,Low,Level 4,1-2,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_Yes
9607,18-25,0,<=30k,60+,20km+,11-20,10+,7+,0-2,31-45,61-80,Poor,Poor,Low,High,Good,Moderate,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9608,26-35,0,<=30k,31-60,20km+,20+,4-6,7+,0-2,46-60,<=40,Excellent,Good,Low,Moderate,Below Avg,Very High,Level 2,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9609,46-60,0,<=30k,0-10,20km+,20+,10+,5-6,11+,46-60,<=40,Poor,Average,Medium,Low,Below Avg,High,Level 4,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_No
9610,46-60,6-10,<=30k,60+,20km+,6-10,7-10,<=2,11+,46-60,61-80,Poor,Poor,Medium,Moderate,Below Avg,Low,Level 2,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9611,26-35,6-10,<=30k,11-30,6-10km,6-10,10+,7+,6-10,46-60,<=40,Excellent,Good,Low,Moderate,Below Avg,Moderate,Level 2,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9612,46-60,3-5,<=30k,0-10,11-20km,11-20,4-6,5-6,3-5,31-45,61-80,Poor,Poor,High,High,Below Avg,High,Level 2,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9613,18-25,3-5,<=30k,31-60,6-10km,2-5,4-6,3-4,3-5,31-45,<=40,Excellent,Poor,Low,High,Below Avg,Moderate,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9614,46-60,6-10,<=30k,0-10,20km+,11-20,10+,3-4,11+,46-60,61-80,Poor,Poor,Medium,Very Low,Below Avg,High,Level 4,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_No
9615,46-60,3-5,<=30k,31-60,20km+,2-5,7-10,<=2,11+,46-60,61-80,Excellent,Poor,High,Very Low,Average,High,Level 3,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_Yes
9616,46-60,1-2,<=30k,11-30,6-10km,11-20,7-10,3-4,11+,46-60,41-60,Good,Good,Low,Very Low,Average,Very High,Level 2,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9617,36-45,6-10,<=30k,11-30,0-5km,11-20,7-10,7+,0-2,46-60,<=40,Poor,Average,Medium,Moderate,Below Avg,Very High,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9618,26-35,1-2,<=30k,60+,20km+,11-20,7-10,5-6,11+,46-60,<=40,Good,Poor,Medium,Moderate,Below Avg,High,Level 5,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9619,46-60,3-5,<=30k,0-10,20km+,11-20,10+,3-4,11+,46-60,41-60,Fair,Poor,High,Very High,Below Avg,Moderate,Level 5,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9620,46-60,3-5,<=30k,11-30,20km+,2-5,10+,<=2,6-10,46-60,61-80,Fair,Poor,Medium,Low,Good,Moderate,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9621,18-25,3-5,<=30k,60+,20km+,6-10,2-3,<=2,11+,31-45,<=40,Good,Poor,Low,Very High,Below Avg,Very High,Level 1,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9622,46-60,0,<=30k,60+,20km+,11-20,2-3,5-6,6-10,31-45,81-100,Poor,Average,Low,Low,Average,Low,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9623,26-35,1-2,<=30k,60+,20km+,11-20,10+,7+,11+,46-60,41-60,Good,Poor,Low,High,Below Avg,Very High,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9624,46-60,6-10,<=30k,60+,11-20km,6-10,2-3,5-6,6-10,46-60,<=40,Good,Average,Low,Moderate,Good,Very High,Level 3,1-2,Female,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9625,46-60,3-5,<=30k,60+,11-20km,2-5,10+,<=2,11+,46-60,81-100,Excellent,Poor,Low,Very High,Below Avg,Very High,Level 2,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
9626,36-45,1-2,<=30k,31-60,11-20km,11-20,2-3,<=2,11+,<=30,81-100,Good,Poor,Medium,Moderate,Good,Moderate,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9627,18-25,1-2,<=30k,60+,20km+,20+,10+,<=2,6-10,46-60,<=40,Good,Poor,Medium,Very High,Average,Moderate,Level 3,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9628,46-60,3-5,<=30k,60+,20km+,20+,7-10,7+,3-5,31-45,61-80,Excellent,Poor,Low,Very Low,Average,Very High,Level 4,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9629,26-35,1-2,<=30k,60+,11-20km,11-20,10+,5-6,11+,31-45,41-60,Excellent,Average,High,Low,Below Avg,Low,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_Yes
9630,46-60,6-10,<=30k,31-60,0-5km,11-20,2-3,3-4,6-10,31-45,41-60,Excellent,Good,Medium,Very Low,Good,High,Level 4,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9631,36-45,6-10,<=30k,0-10,11-20km,6-10,2-3,<=2,11+,46-60,<=40,Good,Average,High,Moderate,Good,Moderate,Level 3,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9632,26-35,1-2,<=30k,60+,11-20km,2-5,10+,<=2,6-10,46-60,<=40,Poor,Poor,Low,High,Good,Low,Level 1,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9633,46-60,3-5,<=30k,60+,6-10km,2-5,4-6,<=2,11+,31-45,41-60,Fair,Average,Medium,High,Good,High,Level 2,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9634,46-60,1-2,<=30k,60+,20km+,20+,7-10,5-6,0-2,31-45,41-60,Good,Good,High,Very Low,Below Avg,Very High,Level 2,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9635,36-45,6-10,<=30k,31-60,20km+,11-20,10+,5-6,3-5,46-60,41-60,Poor,Poor,High,Very High,Good,Low,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9636,26-35,6-10,<=30k,31-60,20km+,6-10,10+,7+,6-10,46-60,<=40,Excellent,Poor,Low,Very Low,Below Avg,High,Level 1,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9637,46-60,3-5,<=30k,31-60,20km+,11-20,7-10,<=2,6-10,31-45,<=40,Good,Poor,Low,High,Below Avg,High,Level 1,3-5,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
9638,18-25,3-5,<=30k,60+,20km+,11-20,7-10,7+,11+,31-45,61-80,Good,Good,Low,Very Low,Below Avg,Very High,Level 3,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_Yes
9639,46-60,3-5,<=30k,31-60,20km+,6-10,7-10,3-4,6-10,31-45,41-60,Good,Good,Low,Low,Average,Very High,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9640,26-35,3-5,<=30k,31-60,6-10km,20+,0-1,7+,11+,46-60,41-60,Excellent,Poor,Low,Very Low,Average,Moderate,Level 3,1-2,Male,Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9641,46-60,3-5,<=30k,31-60,20km+,20+,4-6,5-6,3-5,46-60,<=40,Excellent,Average,Medium,Very High,Below Avg,Low,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9642,36-45,1-2,<=30k,11-30,20km+,2-5,7-10,7+,11+,31-45,<=40,Fair,Good,Medium,Moderate,Below Avg,High,Level 1,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9643,26-35,6-10,<=30k,31-60,20km+,11-20,4-6,7+,3-5,31-45,81-100,Excellent,Poor,Low,Very Low,Below Avg,Low,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9644,46-60,6-10,<=30k,31-60,11-20km,11-20,7-10,<=2,11+,46-60,61-80,Excellent,Poor,High,Low,Below Avg,High,Level 1,1-2,Male,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9645,18-25,1-2,<=30k,0-10,11-20km,11-20,2-3,7+,0-2,31-45,81-100,Excellent,Good,Low,Very High,Average,Very High,Level 4,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9646,46-60,6-10,<=30k,11-30,20km+,6-10,4-6,3-4,11+,46-60,61-80,Excellent,Poor,Medium,Low,Below Avg,Moderate,Level 2,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9647,36-45,0,<=30k,60+,20km+,11-20,4-6,<=2,0-2,31-45,81-100,Poor,Poor,Low,Very High,Good,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9648,18-25,6-10,<=30k,60+,20km+,0-1,7-10,7+,3-5,31-45,<=40,Poor,Poor,Low,High,Below Avg,Moderate,Level 2,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9649,46-60,6-10,<=30k,60+,20km+,20+,2-3,<=2,6-10,46-60,<=40,Good,Poor,Low,High,Below Avg,High,Level 3,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
9650,36-45,3-5,<=30k,60+,11-20km,6-10,10+,<=2,6-10,46-60,41-60,Poor,Poor,Low,Moderate,Below Avg,Low,Level 1,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9651,46-60,6-10,<=30k,11-30,6-10km,6-10,10+,3-4,11+,46-60,41-60,Excellent,Poor,Low,Moderate,Average,Moderate,Level 3,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9652,46-60,1-2,<=30k,31-60,6-10km,11-20,10+,7+,3-5,31-45,61-80,Excellent,Poor,Low,Very High,Average,Low,Level 1,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9653,26-35,6-10,<=30k,31-60,20km+,2-5,2-3,5-6,11+,31-45,81-100,Fair,Poor,Medium,Low,Below Avg,Very High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9654,26-35,3-5,<=30k,11-30,20km+,2-5,2-3,<=2,11+,31-45,81-100,Excellent,Average,Medium,Low,Below Avg,High,Level 1,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_Yes
9655,26-35,3-5,<=30k,31-60,20km+,0-1,2-3,7+,3-5,46-60,81-100,Excellent,Poor,High,Very Low,Average,High,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9656,26-35,3-5,<=30k,31-60,20km+,20+,10+,5-6,11+,46-60,81-100,Good,Good,High,High,Below Avg,Very High,Level 1,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_Yes
9657,46-60,1-2,<=30k,60+,6-10km,0-1,4-6,<=2,6-10,31-45,61-80,Excellent,Poor,High,Very Low,Below Avg,Very High,Level 2,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9658,46-60,3-5,<=30k,60+,20km+,0-1,7-10,7+,11+,31-45,41-60,Good,Poor,Low,Moderate,Average,High,Level 4,3-5,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
9659,36-45,6-10,<=30k,60+,20km+,20+,7-10,<=2,0-2,46-60,41-60,Excellent,Poor,Low,High,Below Avg,Very High,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9660,46-60,3-5,<=30k,31-60,0-5km,20+,10+,<=2,11+,31-45,81-100,Good,Poor,Low,Low,Average,Moderate,Level 3,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9661,18-25,3-5,<=30k,31-60,20km+,6-10,7-10,7+,11+,46-60,<=40,Good,Good,Low,High,Good,Low,Level 3,3-5,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9662,36-45,6-10,<=30k,60+,6-10km,11-20,4-6,3-4,6-10,31-45,81-100,Good,Good,Low,Moderate,Average,Very High,Level 3,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9663,18-25,6-10,<=30k,60+,6-10km,11-20,4-6,7+,11+,46-60,<=40,Poor,Good,Medium,High,Good,Low,Level 2,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9664,26-35,6-10,<=30k,60+,11-20km,20+,10+,5-6,0-2,31-45,41-60,Excellent,Average,Medium,Moderate,Below Avg,High,Level 2,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9665,36-45,0,<=30k,31-60,20km+,2-5,4-6,<=2,11+,46-60,<=40,Excellent,Good,Low,Low,Good,Low,Level 5,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9666,18-25,3-5,<=30k,60+,20km+,6-10,4-6,<=2,3-5,31-45,81-100,Fair,Good,High,Very High,Below Avg,High,Level 5,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
9667,46-60,3-5,<=30k,60+,20km+,20+,10+,5-6,6-10,46-60,41-60,Good,Poor,Medium,High,Average,Very High,Level 5,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9668,46-60,6-10,<=30k,31-60,20km+,11-20,7-10,<=2,6-10,31-45,61-80,Excellent,Good,Low,Very High,Below Avg,Very High,Level 5,1-2,Male,Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9669,36-45,6-10,<=30k,11-30,20km+,11-20,7-10,3-4,6-10,46-60,61-80,Fair,Good,Medium,Moderate,Below Avg,Moderate,Level 1,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
9670,46-60,1-2,<=30k,31-60,20km+,20+,2-3,7+,0-2,46-60,<=40,Excellent,Average,High,High,Good,Very High,Level 4,3-5,Female,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9671,18-25,3-5,<=30k,31-60,20km+,11-20,7-10,5-6,11+,46-60,61-80,Good,Poor,Low,Low,Good,Moderate,Level 3,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9672,46-60,3-5,<=30k,60+,20km+,20+,7-10,7+,11+,46-60,61-80,Poor,Average,Medium,High,Average,Very High,Level 1,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9673,46-60,3-5,<=30k,11-30,20km+,20+,10+,7+,11+,46-60,61-80,Fair,Poor,Low,Low,Good,High,Level 2,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9674,26-35,6-10,<=30k,60+,6-10km,11-20,7-10,<=2,11+,46-60,61-80,Fair,Good,Medium,Moderate,Below Avg,Moderate,Level 3,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9675,36-45,6-10,<=30k,31-60,6-10km,11-20,4-6,<=2,0-2,31-45,81-100,Good,Poor,Medium,Very High,Below Avg,Very High,Level 4,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9676,26-35,6-10,<=30k,0-10,6-10km,0-1,10+,7+,11+,31-45,81-100,Good,Poor,Low,Very Low,Average,High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
9677,36-45,3-5,<=30k,31-60,0-5km,2-5,7-10,3-4,11+,46-60,<=40,Fair,Average,Low,Very Low,Below Avg,Very High,Level 2,3-5,Male,Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
9678,18-25,1-2,<=30k,60+,20km+,11-20,7-10,7+,3-5,46-60,41-60,Excellent,Poor,High,High,Below Avg,Moderate,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9679,26-35,3-5,<=30k,60+,6-10km,20+,4-6,7+,6-10,31-45,41-60,Poor,Good,Low,Very High,Good,Low,Level 5,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
9680,26-35,1-2,<=30k,60+,20km+,11-20,4-6,5-6,0-2,31-45,<=40,Excellent,Average,High,Low,Below Avg,Moderate,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9681,26-35,3-5,<=30k,31-60,20km+,2-5,4-6,7+,6-10,31-45,<=40,Good,Poor,Low,Very Low,Average,Low,Level 3,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9682,36-45,1-2,<=30k,31-60,20km+,11-20,4-6,7+,3-5,31-45,<=40,Good,Poor,Low,Very High,Below Avg,Low,Level 4,1-2,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9683,18-25,6-10,<=30k,31-60,6-10km,11-20,7-10,7+,11+,46-60,41-60,Excellent,Poor,Medium,Very High,Below Avg,Low,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
9684,26-35,1-2,<=30k,60+,20km+,6-10,7-10,<=2,6-10,46-60,<=40,Good,Average,Low,Moderate,Average,High,Level 3,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
9685,46-60,6-10,<=30k,31-60,11-20km,2-5,0-1,7+,11+,46-60,41-60,Good,Good,Medium,Very Low,Below Avg,Moderate,Level 1,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9686,18-25,6-10,<=30k,31-60,11-20km,20+,4-6,7+,11+,46-60,61-80,Fair,Poor,Low,Moderate,Below Avg,Very High,Level 1,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
9687,36-45,3-5,<=30k,11-30,20km+,6-10,4-6,<=2,11+,46-60,41-60,Fair,Good,Medium,Very High,Below Avg,High,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
